"Номенклатурный номер";"Наименование";"Пр-во";"Сумма, RUB"
"8943217460";"SN74LVC2G66DCTR, 2-канальный аналоговый коммутатор 1: 1 с низким сопротивлением во включенном состоянии";"Texas Instruments";"464,00"
"9001067608";"DS18B20, Цифровой термометр, 1-Wire, -55...125°C [TO-92]";"UMW";"87,00"
"8009337839";"Датчик температуры DS18B20 цифровой на проводе 1м";"Китай";"340,00"
"9001169248";"SMAJ5.0A, Защитный диод 400Вт 5В [SMA / DO-214AC]";"UMW";"70,00"
"9000313769";"KLS1-233-0-0-1-T (Micro USB 5S-B), Разъем micro USB-B на плату";"KLS";"65,00"
"8007167267";"KAN0441-0252B 6x3.5x2.55 mm, Тактовая кнопка KAN0441-0252B, 6.1x3.7x2.5 мм, OFF-(ON), SPST, 50 мА, 12 В, 100 мОм";"RUICHI";"500,00"
"9000811057";"LDL1117S33R, LDO-стабилизатор напряжения 3.3В 1.2А [SOT-223]";"ST Microelectronics";"165,00"
"8010563431";"CL31B104KCFNNNE, Конденсатор: керамический, MLCC, 100нФ, 100В, X7R, ±10%, SMD, 1206";"Samsung";"60,00"
"8017364460";"CL31A106KOHNNNE, Конденсатор: керамический, MLCC, 10мкФ, 16В, X5R, ±10%, SMD, 1206";"Samsung";"60,00"
"3112";"Конденсатор керамический smd 4700пФ X7R 50В 10% 0805 (4.7нф), GRM216R71H472K";"Murata";"90,00"
"8011017039";"LTST-C150KGKT, LED; SMD; 1206; green; 18?71mcd; 3.2x1.6x1.1mm; 130°; 2V; 20mA; 75mW";"Lite-on Electronics";"30,00"
"8009027069";"1206 5% 100K RI1206L104JT, ЧИП резистор 1206 5% 100 кОм";"Hottech";"60,00"
"8002085623";"1206 5% 1M, ЧИП резистор 1206 5% 1.0 МОм";"Тайвань";"60,00"
"8009027070";"1206 5% 10K RI1206L103JT, ЧИП резистор 1206 5% 10 кОм";"Hottech";"80,00"
"8025662928";"RC1206JR-07390KL, Резистор SMD (1206 390кОм 0,25Вт 5%)";"Yageo";"40,00"
"8001848163";"1206 5% 4K7, ЧИП резистор 1206 5% 4.7 кОм";"Тайвань";"60,00"
"37186";"74HC4066D,653, Четыре двунаправленных переключателя, [SO-14-150]";"Nexperia";"222,00"
"5173358418729308";"Двухрежимный беспроводной модуль ESP32 ESP C3 C3S 12F 13U 01M 32S Mini WiFi BLE 5,0 BLE5.0";"ESPRESSIF";"387,25"
"5172402394099308";"Цифровой тонометр RZ на запястье RZ204-Bubble";"DZY medik";"833,96"
;;;"3674.21"
;;;"19"
